foot_contact_forces
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
9.55,8.64396447058479,-0.7650371738143906,-373.5863414623093,1.577535166426293,-0.9978168070729223,-214.4085993534025,-10.561218815925303,4.932887901349382,-459.5575785334126,nan,nan,nan,-1.805538823979353,0.03010504525329978,-166.76953224245926,nan,nan,nan
9.551,8.6441881211461,-0.7722563259974248,-373.6477504248359,1.5681235683489174,-0.9988235100064887,-214.3466917632018,-10.567751665753665,4.931915577315822,-459.6681075529346,nan,nan,nan,-1.8037938832864173,0.02972841407871656,-166.66954915799985,nan,nan,nan
9.552,8.64438608480081,-0.7796049841160693,-373.70924891799245,1.5589213564065054,-0.9998869242247772,-214.28483749702977,-10.574298975203947,4.930958354507553,-459.7785428585601,nan,nan,nan,-1.802048790684526,0.029336419475961974,-166.56961866792167,nan,nan,nan
9.553,8.644557879072178,-0.7870837377051615,-373.7708328519589,1.5499204739100836,-1.0010073109186421,-214.22303187545444,-10.580860556284316,4.930017132059092,-459.88887832783723,nan,nan,nan,-1.8002884361104834,0.028929803259624083,-166.469738348345,nan,nan,nan
9.554,8.644703009093543,-0.7946925710246256,-373.8324979853396,1.5411304166695918,-1.002184544448973,-214.16127042815188,-10.587436419061133,4.929091966810603,-459.99910872295106,nan,nan,nan,-1.7985207991834409,0.028508429843660754,-166.3699060948391,nan,nan,nan
9.555,8.64482101347422,-0.8024316317518049,-373.8942404053316,1.5325546204338543,-1.0034186093070805,-214.09954890194652,-10.594026510883962,4.92818317114171,-460.10922910767977,nan,nan,nan,-1.7967459268276198,0.028072476853953126,-166.27011990642907,nan,nan,nan
9.556000000000001,8.64491144534899,-0.8103010368070603,-373.9560564627485,1.524196470221913,-1.0047094827030036,-214.03786323624342,-10.600630788633197,4.927291041819052,-460.21923488340263,nan,nan,nan,-1.7949638598323665,0.027622112261875147,-166.17037788652098,nan,nan,nan
9.557,8.644973872552717,-0.818300872332618,-374.0179427362163,1.5160592933756294,-1.006057129740563,-213.9762095450302,-10.607249217290162,4.926415858015132,-460.3291217849695,nan,nan,nan,-1.7931746400943418,0.027157501394585344,-166.07067824122817,nan,nan,nan
9.558,8.645007877175116,-0.8264311926530163,-374.0798960067344,1.5081464141620364,-1.0074615032617356,-213.91458410268572,-10.613881769421488,4.9255578792033665,-460.4388858665707,nan,nan,nan,-1.7913783857282353,0.02667880518010888,-165.97101927650886,nan,nan,nan
9.559000000000001,8.645013055156483,-0.8346920221668325,-374.14191324097493,1.5004610079446066,-1.0089225443829937,-213.85298333109603,-10.620528424026018,4.924717349120571,-460.5485234819613,nan,nan,nan,-1.7895751278569167,0.026186184919895838,-165.87139939316728,nan,nan,nan
